z,wave,ground,cumulWave
405.25299072265625,0.0,0.0,1.0000001
405.1028439396748,0.0,0.0,1.0000001
404.9526971566934,0.0,0.0,1.0000001
404.80255037371194,0.0,0.0,1.0000001
404.6524035907305,0.0,0.0,1.0000001
404.50225680774906,0.0,0.0,1.0000001
404.3521100247676,0.0,0.0,1.0000001
404.2019632417862,0.0,0.0,1.0000001
404.05181645880475,0.0,0.0,1.0000001
403.9016696758233,0.0,0.0,1.0000001
403.7515228928419,0.0,0.0,1.0000001
403.60137610986044,0.0,0.0,1.0000001
403.451229326879,0.0,0.0,1.0000001
403.3010825438975,0.0,0.0,1.0000001
403.15093576091607,0.0,0.0,1.0000001
403.00078897793463,0.0,0.0,1.0000001
402.8506421949532,0.0,0.0,1.0000001
402.70049541197176,0.0,0.0,1.0000001
402.5503486289903,0.0,0.0,1.0000001
402.4002018460089,0.0,0.0,1.0000001
402.25005506302745,0.0,0.0,1.0000001
402.099908280046,0.0,0.0,1.0000001
401.94976149706457,0.0,0.0,1.0000001
401.79961471408313,0.0,0.0,1.0000001
401.6494679311017,0.0,0.0,1.0000001
401.49932114812026,0.0,0.0,1.0000001
401.3491743651388,0.0,0.0,1.0000001
401.1990275821574,0.0,0.0,1.0000001
401.04888079917595,0.0,0.0,1.0000001
400.8987340161945,0.0,0.0,1.0000001
400.7485872332131,0.0,0.0,1.0000001
400.59844045023164,0.0,0.0,1.0000001
400.4482936672502,0.0,0.0,1.0000001
400.29814688426876,0.0,0.0,1.0000001
400.1480001012873,0.0,0.0,1.0000001
399.9978533183059,0.0,0.0,1.0000001
399.84770653532445,0.0,0.0,1.0000001
399.697559752343,0.0,0.0,1.0000001
399.5474129693616,0.0,0.0,1.0000001
399.3972661863801,0.0,0.0,1.0000001
399.24711940339864,0.0,0.0,1.0000001
399.0969726204172,0.0,0.0,1.0000001
398.94682583743577,0.0,0.0,1.0000001
398.79667905445433,0.0,0.0,1.0000001
398.6465322714729,0.0,0.0,1.0000001
398.49638548849146,0.0,0.0,1.0000001
398.34623870551,0.0,0.0,1.0000001
398.1960919225286,0.0,0.0,1.0000001
398.04594513954714,0.0,0.0,1.0000001
397.8957983565657,0.0,0.0,1.0000001
397.74565157358427,0.0,0.0,1.0000001
397.59550479060283,0.0,0.0,1.0000001
397.4453580076214,0.0,0.0,1.0000001
397.29521122463996,0.0,0.0,1.0000001
397.1450644416585,0.0,0.0,1.0000001
396.9949176586771,0.0,0.0,1.0000001
396.84477087569564,0.0,0.0,1.0000001
396.6946240927142,0.0,0.0,1.0000001
396.54447730973277,0.0,0.0,1.0000001
396.39433052675133,0.0,0.0,1.0000001
396.2441837437699,0.0,0.0,1.0000001
396.09403696078846,0.0,0.0,1.0000001
395.943890177807,0.0,0.0,1.0000001
395.7937433948256,0.0,0.0,1.0000001
395.64359661184415,0.0,0.0,1.0000001
395.49344982886265,0.0,0.0,1.0000001
395.3433030458812,0.0,0.0,1.0000001
395.1931562628998,0.0,0.0,1.0000001
395.04300947991834,0.0,0.0,1.0000001
394.8928626969369,0.0,0.0,1.0000001
394.74271591395546,0.0,0.0,1.0000001
394.592569130974,0.0,0.0,1.0000001
394.4424223479926,0.0,0.0,1.0000001
394.29227556501115,0.0,0.0,1.0000001
394.1421287820297,0.0,0.0,1.0000001
393.9919819990483,0.0,0.0,1.0000001
393.84183521606684,0.0,0.0,1.0000001
393.6916884330854,0.0,0.0,1.0000001
393.54154165010397,0.0,0.0,1.0000001
393.39139486712253,0.0,0.0,1.0000001
393.2412480841411,0.0,0.0,1.0000001
393.09110130115965,0.0,0.0,1.0000001
392.9409545181782,0.0,0.0,1.0000001
392.7908077351968,0.0,0.0,1.0000001
392.64066095221534,0.0,0.0,1.0000001
392.4905141692339,0.0,0.0,1.0000001
392.34036738625247,0.0,0.0,1.0000001
392.19022060327103,0.0,0.0,1.0000001
392.0400738202896,0.0,0.0,1.0000001
391.88992703730815,0.0,0.0,1.0000001
391.73978025432666,0.0,0.0,1.0000001
391.5896334713452,0.0,0.0,1.0000001
391.4394866883638,0.0,0.0,1.0000001
391.28933990538235,0.0,0.0,1.0000001
391.1391931224009,0.0,0.0,1.0000001
390.9890463394195,0.0,0.0,1.0000001
390.83889955643804,0.0,0.0,1.0000001
390.6887527734566,0.0,0.0,1.0000001
390.53860599047516,0.0,0.0,1.0000001
390.3884592074937,0.0,0.0,1.0000001
390.2383124245123,0.0,0.0,1.0000001
390.08816564153085,0.0,0.0,1.0000001
389.9380188585494,0.0,0.0,1.0000001
389.787872075568,0.0,0.0,1.0000001
389.63772529258654,0.0,0.0,1.0000001
389.4875785096051,0.0,0.0,1.0000001
389.33743172662366,0.0,0.0,1.0000001
389.1872849436422,0.0,0.0,1.0000001
389.0371381606608,0.0,0.0,1.0000001
388.88699137767935,0.0,0.0,1.0000001
388.7368445946979,0.0,0.0,1.0000001
388.5866978117165,0.0,0.0,1.0000001
388.43655102873504,0.0,0.0,1.0000001
388.2864042457536,0.0,0.0,1.0000001
388.13625746277216,0.0,0.0,1.0000001
387.9861106797907,0.0,0.0,1.0000001
387.8359638968093,0.0,0.0,1.0000001
387.6858171138278,0.0,0.0,1.0000001
387.53567033084636,0.0,0.0,1.0000001
387.3855235478649,0.0,0.0,1.0000001
387.2353767648835,0.0,0.0,1.0000001
387.08522998190205,0.0,0.0,1.0000001
386.9350831989206,0.0,0.0,1.0000001
386.78493641593917,0.0,0.0,1.0000001
386.63478963295773,0.0,0.0,1.0000001
386.4846428499763,0.0,0.0,1.0000001
386.33449606699486,0.0,0.0,1.0000001
386.1843492840134,0.0,0.0,1.0000001
386.034202501032,0.0,0.0,1.0000001
385.88405571805055,0.0,0.0,1.0000001
385.7339089350691,0.0,0.0,1.0000001
385.5837621520877,0.0,0.0,1.0000001
385.43361536910623,0.0,0.0,1.0000001
385.2834685861248,0.0,0.0,1.0000001
385.13332180314336,0.0,0.0,1.0000001
384.9831750201619,0.0,0.0,1.0000001
384.8330282371805,0.0,0.0,1.0000001
384.68288145419905,0.0,0.0,1.0000001
384.5327346712176,0.0,0.0,1.0000001
384.3825878882362,0.0,0.0,1.0000001
384.2324411052547,0.0,0.0,1.0000001
384.08229432227324,0.0,0.0,1.0000001
383.9321475392918,0.0,0.0,1.0000001
383.78200075631037,0.0,0.0,1.0000001
383.63185397332893,0.0,0.0,1.0000001
383.4817071903475,0.0,0.0,1.0000001
383.33156040736606,0.0,0.0,1.0000001
383.1814136243846,0.0,0.0,1.0000001
383.0312668414032,0.0,0.0,1.0000001
382.88112005842174,0.0,0.0,1.0000001
382.7309732754403,0.0,0.0,1.0000001
382.58082649245887,0.0,0.0,1.0000001
382.43067970947743,0.0,0.0,1.0000001
382.280532926496,0.0,0.0,1.0000001
382.13038614351456,0.0,0.0,1.0000001
381.9802393605331,0.0,0.0,1.0000001
381.8300925775517,0.0,0.0,1.0000001
381.67994579457024,0.0,0.0,1.0000001
381.5297990115888,0.0,0.0,1.0000001
381.37965222860737,0.0,0.0,1.0000001
381.22950544562593,0.0,0.0,1.0000001
381.0793586626445,0.0,0.0,1.0000001
380.92921187966306,0.0,0.0,1.0000001
380.7790650966816,0.0,0.0,1.0000001
380.6289183137002,0.0,0.0,1.0000001
380.47877153071875,0.0,0.0,1.0000001
380.3286247477373,0.0,0.0,1.0000001
380.17847796475587,0.0,0.0,1.0000001
380.0283311817744,0.0,0.0,1.0000001
379.87818439879294,0.0,0.0,1.0000001
379.7280376158115,2.4144546e-09,0.0,1.0000001
379.57789083283006,2.3233106e-08,8.621699e-09,1.0000001
379.4277440498486,6.419857e-08,1.8242037e-08,1.0000001
379.2775972668672,1.6692556e-07,4.510151e-08,1.0000001
379.12745048388575,3.517078e-07,1.05187546e-07,1.0000001
378.9773037009043,7.2460256e-07,2.4041347e-07,1.0
378.8271569179229,1.4272076e-06,5.03761e-07,0.9999999
378.67701013494144,2.6255236e-06,9.570318e-07,0.99999964
378.52686335196,4.715573e-06,1.7661874e-06,0.9999992
378.37671656897857,8.237036e-06,3.198322e-06,0.9999985
378.2265697859971,1.3676514e-05,5.526272e-06,0.99999726
378.0764230030157,2.1100872e-05,8.194276e-06,0.99999523
377.92627622003425,3.7504316e-05,1.6255299e-05,0.9999921
377.7761294370528,5.639903e-05,2.3582084e-05,0.9999864
377.6259826540714,9.3684816e-05,3.752044e-05,0.99997795
377.47583587108994,0.00013682652,5.667274e-05,0.99996394
377.3256890881085,0.00020810346,8.8886925e-05,0.99994344
377.17554230512707,0.0003200441,0.00013871513,0.99991226
377.02539552214563,0.00045428958,0.00019789205,0.9998642
376.8752487391642,0.00065999525,0.000284611,0.9997961
376.72510195618275,0.00094190513,0.0004278728,0.9996971
376.5749551732013,0.0013074391,0.00058163697,0.9995558
376.4248083902198,0.0018592433,0.0008506951,0.9993597
376.2746616072384,0.002473662,0.0011069028,0.99908084
376.12451482425695,0.00346556,0.0015901455,0.99870974
375.9743680412755,0.004461846,0.0020547763,0.9981899
375.8242212582941,0.005983222,0.0027239663,0.9975206
375.67407447531264,0.007737359,0.0036368363,0.99662316
375.5239276923312,0.010060446,0.004692786,0.99546254
375.37378090934976,0.012628092,0.005881482,0.9939535
